"OGR_FID";"SHAPE";"objectid";"streetname";"phase";"shape_leng";"town";"miles";"status";"type";"status_con";"type_con";"shape_le_1"
"1";"";"2";"COOKE STREET";"1";"430.27235972700";"89";"0.26735831443";"EX";"2";"Existing";"signed route";"430.27235971300"
"2";"";"3";"HIGH STREET";"1";"340.68605065000";"89";"0.21169207409";"EX";"2";"Existing";"signed route";"340.68605064300"
"3";"";"4";"PEASES POINT WAY";"1";"221.77082853800";"89";"0.13780172853";"EX";"2";"Existing";"signed route";"221.77082853500"
"4";"";"5";"SOUTH WATER STREET";"1";"346.04912984100";"89";"0.21502453033";"EX";"2";"Existing";"signed route";"346.04912984100"
"5";"";"14";"CENTRE STREET";"1";"235.18531857800";"296";"0.14613708953";"EX";"2";"Existing";"signed route";"235.18531857800"
"6";"";"15";"CHURCH STREET";"1";"244.80532898500";"296";"0.15211467491";"EX";"2";"Existing";"signed route";"244.80532898500"
"7";"";"16";"EDGARTOWN - VINEYARD HAVEN ROAD";"1";"562.67674286500";"296";"0.34963041930";"EX";"2";"Existing";"signed route";"562.67674286700"
"8";"";"17";"FRANKLIN STREET";"1";"75.44681776430";"296";"0.04688038534";"EX";"2";"Existing";"signed route";"75.44681776040"
"9";"";"18";"LAGOON POND ROAD";"1";"579.58263169900";"296";"0.36013523059";"EX";"2";"Existing";"signed route";"579.58263170400"
"10";"";"19";"MAIN STREET";"1";"32.92754524610";"296";"0.02046018713";"EX";"2";"Existing";"signed route";"32.92754524980"
"11";"";"20";"PINE STREET";"1";"133.72559440800";"296";"0.08309306584";"EX";"2";"Existing";"signed route";"133.72559441300"
"12";"";"21";"SKIFF AVENUE";"1";"824.79080311600";"296";"0.51250021968";"EX";"2";"Existing";"signed route";"824.79080311700"
"13";"";"22";"SPRING STREET";"1";"301.85471285900";"296";"0.18756344768";"EX";"2";"Existing";"signed route";"301.85471285700"
"14";"";"23";"UNION STREET";"1";"125.83344802000";"296";"0.07818912324";"EX";"2";"Existing";"signed route";"125.83344802000"
"15";"";"24";"WATER STREET";"1";"173.19615663600";"296";"0.10761888710";"EX";"2";"Existing";"signed route";"173.19615663600"
"16";"";"25";"WEST SPRING STREET";"1";"1433.99438271000";"296";"0.89104101716";"EX";"2";"Existing";"signed route";"1433.99438271000"
"17";"";"28";"SEAVIEW AVENUE";"1";"322.26884571400";"221";"0.20024817639";"EX";"2";"Existing";"signed route";"322.26884572200"
"18";"";"35";"BEACH ROAD";"1";"782.63365176700";"296";"0.48630503267";"PR";"2";"Programmed";"designated path";"782.63365177300"
"19";"";"36";"BEACH ROAD";"1";"548.72742986400";"221";"0.34096273538";"PR";"2";"Programmed";"designated path";"548.72742986800"
"20";"";"42";"TOWANTICUT AVENUE";"5";"239.01270806400";"221";"0.14851531434";"PL";"1";"Planned";"designated path";"239.01270805200"
"21";"";"45";"HOLMES HOLE ROAD";"5";"398.45122320500";"221";"0.24758561644";"PL";"1";"Planned";"designated path";"398.45122321100"
"22";"";"46";"EASTVILLE AVENUE";"5";"426.14154396800";"221";"0.26479154965";"PL";"1";"Planned";"designated path";"426.14154398400"
"23";"";"51";"CANTERBURY LANE";"5";"522.79811721100";"296";"0.32485103969";"PL";"1";"Planned";"designated path";"522.79811722100"
"24";"";"52";"SAILORS BURYING GROUND ROAD";"5";"287.57564934700";"296";"0.17869086671";"PL";"1";"Planned";"designated path";"287.57564934600"
"25";"";"54";"HOLMES HOLE ROAD";"5";"1303.21837663000";"296";"0.80978073687";"PL";"1";"Planned";"designated path";"1303.21837662000"
"26";"";"67";"STONEY HILL ROAD";"5";"191.12732722300";"327";"0.11876077766";"PL";"1";"Planned";"designated path";"191.12732722600"
